METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     78	       0	       0	0.28s 	./segmented/standalone/OTSU/e0ff3476-226f-4125-b182-8e524d5503dd.png
OTSU w/out blur     	     78	       0	       0	0.27s 	./segmented/standalone/OTSU w-out blur/e0ff3476-226f-4125-b182-8e524d5503dd.png
Watershed           	     88	       0	       0	0.46s 	./segmented/standalone/Watershed/e0ff3476-226f-4125-b182-8e524d5503dd.png
Hough Circles       	     91	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e0ff3476-226f-4125-b182-8e524d5503dd.png
OTSU + Hough method 1 break	     83	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 1 break/e0ff3476-226f-4125-b182-8e524d5503dd.png
OTSU + Hough method 2 merge	     95	       0	       0	0.29s 	./segmented/standalone/OTSU and Hough method 2 merge/e0ff3476-226f-4125-b182-8e524d5503dd.png
U-net 256 new dataset	     86	       0	       0	0.33s 	./segmented/standalone/U-net 256 new dataset/e0ff3476-226f-4125-b182-8e524d5503dd.png
Yolo 512 new dataset	    117	       0	       0	0.22s 	./segmented/standalone/Yolo 512 new dataset/e0ff3476-226f-4125-b182-8e524d5503dd.png
RCNNv4 1024         	    119	       0	       0	18.20s	./segmented/standalone/RCNNv4 1024/e0ff3476-226f-4125-b182-8e524d5503dd.png
RCNNv5n 512         	    118	       0	       0	17.69s	./segmented/standalone/RCNNv5n 512/e0ff3476-226f-4125-b182-8e524d5503dd.png
Yolo 416 new dataset	    117	       0	       0	0.11s 	./segmented/standalone/Yolo 416 new dataset/e0ff3476-226f-4125-b182-8e524d5503dd.png
RCNNv6n 256         	    123	       0	       0	18.67s	./segmented/standalone/RCNNv6n 256/e0ff3476-226f-4125-b182-8e524d5503dd.png
