METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     60	       0	       0	0.29s 	./segmented/standalone/OTSU/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
OTSU w/out blur     	     60	       0	       0	0.30s 	./segmented/standalone/OTSU w-out blur/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
Watershed           	     65	       0	       0	0.41s 	./segmented/standalone/Watershed/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
Hough Circles       	     70	       0	       0	0.02s 	./segmented/standalone/Hough Circles/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
OTSU + Hough method 1 break	     73	       0	       0	0.42s 	./segmented/standalone/OTSU and Hough method 1 break/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
OTSU + Hough method 2 merge	     75	       0	       0	0.32s 	./segmented/standalone/OTSU and Hough method 2 merge/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
U-net 256 new dataset	     58	       0	       0	0.34s 	./segmented/standalone/U-net 256 new dataset/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
Yolo 512 new dataset	     81	       0	       0	0.22s 	./segmented/standalone/Yolo 512 new dataset/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
RCNNv4 1024         	     84	       0	       0	90.63s	./segmented/standalone/RCNNv4 1024/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
RCNNv5n 512         	     86	       0	       0	99.54s	./segmented/standalone/RCNNv5n 512/edd3862f-04e1-49cf-97dd-ca566d17e71a.png
