METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     68	       0	       0	0.32s 	./segmented/standalone/OTSU/f5869ba8-6253-426b-93f3-82af59a86144.png
OTSU w/out blur     	     66	       0	       0	0.35s 	./segmented/standalone/OTSU w-out blur/f5869ba8-6253-426b-93f3-82af59a86144.png
Watershed           	     74	       0	       0	0.45s 	./segmented/standalone/Watershed/f5869ba8-6253-426b-93f3-82af59a86144.png
Hough Circles       	     54	       0	       0	0.02s 	./segmented/standalone/Hough Circles/f5869ba8-6253-426b-93f3-82af59a86144.png
OTSU + Hough method 1 break	     94	       0	       0	0.46s 	./segmented/standalone/OTSU and Hough method 1 break/f5869ba8-6253-426b-93f3-82af59a86144.png
OTSU + Hough method 2 merge	     76	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 2 merge/f5869ba8-6253-426b-93f3-82af59a86144.png
U-net 256 new dataset	     61	       0	       0	0.33s 	./segmented/standalone/U-net 256 new dataset/f5869ba8-6253-426b-93f3-82af59a86144.png
Yolo 512 new dataset	     93	       0	       0	0.23s 	./segmented/standalone/Yolo 512 new dataset/f5869ba8-6253-426b-93f3-82af59a86144.png
RCNNv4 1024         	    100	       0	       0	143.85s	./segmented/standalone/RCNNv4 1024/f5869ba8-6253-426b-93f3-82af59a86144.png
RCNNv5n 512         	    111	       0	       0	148.89s	./segmented/standalone/RCNNv5n 512/f5869ba8-6253-426b-93f3-82af59a86144.png
