METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     64	       0	       0	0.29s 	./segmented/standalone/OTSU/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
OTSU w/out blur     	     62	       0	       0	0.38s 	./segmented/standalone/OTSU w-out blur/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
Watershed           	     71	       0	       0	0.38s 	./segmented/standalone/Watershed/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
Hough Circles       	     68	       0	       0	0.01s 	./segmented/standalone/Hough Circles/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
OTSU + Hough method 1 break	     94	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 1 break/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
OTSU + Hough method 2 merge	     78	       0	       0	0.39s 	./segmented/standalone/OTSU and Hough method 2 merge/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
U-net 256 new dataset	     78	       0	       0	0.34s 	./segmented/standalone/U-net 256 new dataset/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
Yolo 512 new dataset	     97	       0	       0	0.17s 	./segmented/standalone/Yolo 512 new dataset/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
RCNNv4 1024         	    104	       0	       0	102.12s	./segmented/standalone/RCNNv4 1024/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
RCNNv5n 512         	    110	       0	       0	113.54s	./segmented/standalone/RCNNv5n 512/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
Yolo 416 new dataset	    101	       0	       0	0.17s 	./segmented/standalone/Yolo 416 new dataset/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
RCNNv6n 256         	    122	       0	       0	32.48s	./segmented/standalone/RCNNv6n 256/efb85f8e-c780-4a19-b6ce-555a154b0d10.png
