METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     57	       0	       0	0.30s 	./segmented/standalone/OTSU/effd6334-516f-4d48-9f3c-5272a99780fb.png
OTSU w/out blur     	     57	       0	       0	0.34s 	./segmented/standalone/OTSU w-out blur/effd6334-516f-4d48-9f3c-5272a99780fb.png
Watershed           	     56	       0	       0	0.38s 	./segmented/standalone/Watershed/effd6334-516f-4d48-9f3c-5272a99780fb.png
Hough Circles       	     59	       0	       0	0.01s 	./segmented/standalone/Hough Circles/effd6334-516f-4d48-9f3c-5272a99780fb.png
OTSU + Hough method 1 break	     69	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/effd6334-516f-4d48-9f3c-5272a99780fb.png
OTSU + Hough method 2 merge	     66	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 2 merge/effd6334-516f-4d48-9f3c-5272a99780fb.png
U-net 256 new dataset	     52	       0	       0	0.31s 	./segmented/standalone/U-net 256 new dataset/effd6334-516f-4d48-9f3c-5272a99780fb.png
Yolo 512 new dataset	     65	       0	       0	0.13s 	./segmented/standalone/Yolo 512 new dataset/effd6334-516f-4d48-9f3c-5272a99780fb.png
RCNNv4 1024         	     69	       0	       0	104.35s	./segmented/standalone/RCNNv4 1024/effd6334-516f-4d48-9f3c-5272a99780fb.png
RCNNv5n 512         	     71	       0	       0	111.64s	./segmented/standalone/RCNNv5n 512/effd6334-516f-4d48-9f3c-5272a99780fb.png
