METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     42	       0	       0	0.31s 	./segmented/standalone/OTSU/f070a212-e4e2-4743-804c-80789a36f495.png
OTSU w/out blur     	     42	       0	       0	0.40s 	./segmented/standalone/OTSU w-out blur/f070a212-e4e2-4743-804c-80789a36f495.png
Watershed           	     39	       0	       0	0.35s 	./segmented/standalone/Watershed/f070a212-e4e2-4743-804c-80789a36f495.png
Hough Circles       	     37	       0	       0	0.01s 	./segmented/standalone/Hough Circles/f070a212-e4e2-4743-804c-80789a36f495.png
OTSU + Hough method 1 break	     49	       0	       0	0.49s 	./segmented/standalone/OTSU and Hough method 1 break/f070a212-e4e2-4743-804c-80789a36f495.png
OTSU + Hough method 2 merge	     48	       0	       0	0.39s 	./segmented/standalone/OTSU and Hough method 2 merge/f070a212-e4e2-4743-804c-80789a36f495.png
U-net 256 new dataset	     36	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/f070a212-e4e2-4743-804c-80789a36f495.png
Yolo 512 new dataset	     44	       0	       0	0.11s 	./segmented/standalone/Yolo 512 new dataset/f070a212-e4e2-4743-804c-80789a36f495.png
RCNNv4 1024         	     46	       0	       0	107.40s	./segmented/standalone/RCNNv4 1024/f070a212-e4e2-4743-804c-80789a36f495.png
RCNNv5n 512         	     48	       0	       0	112.25s	./segmented/standalone/RCNNv5n 512/f070a212-e4e2-4743-804c-80789a36f495.png
Yolo 416 new dataset	     44	       0	       0	0.11s 	./segmented/standalone/Yolo 416 new dataset/f070a212-e4e2-4743-804c-80789a36f495.png
RCNNv6n 256         	     57	       0	       0	30.66s	./segmented/standalone/RCNNv6n 256/f070a212-e4e2-4743-804c-80789a36f495.png
