METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     52	       0	       0	0.41s 	./segmented/standalone/OTSU/f070a212-e4e2-4743-804c-80789a36f495.png
OTSU w/out blur     	     54	       0	       0	0.67s 	./segmented/standalone/OTSU w-out blur/f070a212-e4e2-4743-804c-80789a36f495.png
HSV                 	      0	       0	       0	0.30s 	./segmented/standalone/_hsv/f070a212-e4e2-4743-804c-80789a36f495.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/f070a212-e4e2-4743-804c-80789a36f495.png
Watershed           	     39	       0	       0	0.32s 	./segmented/standalone/Watershed/f070a212-e4e2-4743-804c-80789a36f495.png
Hough Circles       	     37	       0	       0	0.01s 	./segmented/standalone/Hough Circles/f070a212-e4e2-4743-804c-80789a36f495.png
OTSU + Hough method 1 break	     85	       0	       0	0.74s 	./segmented/standalone/OTSU and Hough method 1 break/f070a212-e4e2-4743-804c-80789a36f495.png
OTSU + Hough method 2 merge	     56	       0	       0	0.67s 	./segmented/standalone/OTSU and Hough method 2 merge/f070a212-e4e2-4743-804c-80789a36f495.png
U-net 256 new dataset	     36	       0	       0	0.26s 	./segmented/standalone/U-net 256 new dataset/f070a212-e4e2-4743-804c-80789a36f495.png
Yolo 512 new dataset	     44	       0	       0	0.30s 	./segmented/standalone/Yolo 512 new dataset/f070a212-e4e2-4743-804c-80789a36f495.png
RCNNv4 1024         	     46	       0	       0	12.60s	./segmented/standalone/RCNNv4 1024/f070a212-e4e2-4743-804c-80789a36f495.png
