METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     69	       0	       0	0.34s 	./segmented/standalone/OTSU/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
OTSU w/out blur     	     72	       0	       0	0.39s 	./segmented/standalone/OTSU w-out blur/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
Watershed           	     80	       0	       0	0.46s 	./segmented/standalone/Watershed/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
Hough Circles       	     60	       0	       0	0.02s 	./segmented/standalone/Hough Circles/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
OTSU + Hough method 1 break	     80	       0	       0	0.47s 	./segmented/standalone/OTSU and Hough method 1 break/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
OTSU + Hough method 2 merge	     78	       0	       0	0.39s 	./segmented/standalone/OTSU and Hough method 2 merge/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
U-net 256 new dataset	     72	       0	       0	0.34s 	./segmented/standalone/U-net 256 new dataset/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
Yolo 512 new dataset	    108	       0	       0	0.26s 	./segmented/standalone/Yolo 512 new dataset/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
RCNNv4 1024         	    112	       0	       0	152.32s	./segmented/standalone/RCNNv4 1024/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
RCNNv5n 512         	    115	       0	       0	170.16s	./segmented/standalone/RCNNv5n 512/fe436c09-b680-4f4c-8faf-aa10a55a335b.png
