METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     60	       0	       0	0.34s 	./segmented/standalone/OTSU/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
OTSU w/out blur     	     63	       0	       0	0.45s 	./segmented/standalone/OTSU w-out blur/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
Watershed           	     60	       0	       0	0.39s 	./segmented/standalone/Watershed/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
Hough Circles       	     55	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
OTSU + Hough method 1 break	     73	       0	       0	0.55s 	./segmented/standalone/OTSU and Hough method 1 break/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
OTSU + Hough method 2 merge	     66	       0	       0	0.45s 	./segmented/standalone/OTSU and Hough method 2 merge/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
U-net 256 new dataset	     58	       0	       0	0.60s 	./segmented/standalone/U-net 256 new dataset/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
Yolo 512 new dataset	     74	       0	       0	0.23s 	./segmented/standalone/Yolo 512 new dataset/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
RCNNv4 1024         	     77	       0	       0	63.67s	./segmented/standalone/RCNNv4 1024/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
RCNNv5n 512         	     79	       0	       0	48.67s	./segmented/standalone/RCNNv5n 512/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
