METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     56	       0	       0	0.27s 	./segmented/standalone/OTSU/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
OTSU w/out blur     	     57	       0	       0	0.29s 	./segmented/standalone/OTSU w-out blur/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
Watershed           	     81	       0	       0	0.47s 	./segmented/standalone/Watershed/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
Hough Circles       	     66	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
OTSU + Hough method 1 break	     90	       0	       0	0.41s 	./segmented/standalone/OTSU and Hough method 1 break/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
OTSU + Hough method 2 merge	     75	       0	       0	0.27s 	./segmented/standalone/OTSU and Hough method 2 merge/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
U-net 256 new dataset	     63	       0	       0	0.45s 	./segmented/standalone/U-net 256 new dataset/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
Yolo 512 new dataset	     98	       0	       0	0.18s 	./segmented/standalone/Yolo 512 new dataset/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
RCNNv4 1024         	    109	       0	       0	69.00s	./segmented/standalone/RCNNv4 1024/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
RCNNv5n 512         	    116	       0	       0	67.32s	./segmented/standalone/RCNNv5n 512/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
Yolo 416 new dataset	    108	       0	       0	0.13s 	./segmented/standalone/Yolo 416 new dataset/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
RCNNv6n 256         	    128	       0	       0	68.45s	./segmented/standalone/RCNNv6n 256/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
