METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     70	       0	       0	0.32s 	./segmented/standalone/OTSU/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
OTSU w/out blur     	     68	       0	       0	0.36s 	./segmented/standalone/OTSU w-out blur/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
Watershed           	     82	       0	       0	0.46s 	./segmented/standalone/Watershed/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
Hough Circles       	     82	       0	       0	0.02s 	./segmented/standalone/Hough Circles/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
OTSU + Hough method 1 break	     91	       0	       0	0.46s 	./segmented/standalone/OTSU and Hough method 1 break/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
OTSU + Hough method 2 merge	     87	       0	       0	0.35s 	./segmented/standalone/OTSU and Hough method 2 merge/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
U-net 256 new dataset	     69	       0	       0	0.32s 	./segmented/standalone/U-net 256 new dataset/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
Yolo 512 new dataset	    100	       0	       0	0.21s 	./segmented/standalone/Yolo 512 new dataset/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
RCNNv4 1024         	    103	       0	       0	170.77s	./segmented/standalone/RCNNv4 1024/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
RCNNv5n 512         	    106	       0	       0	170.37s	./segmented/standalone/RCNNv5n 512/fe1ee954-ba71-47b3-954a-d20ab940cd7b.png
