METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     58	       0	       0	0.27s 	./segmented/standalone/OTSU/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
OTSU w/out blur     	     58	       0	       0	0.27s 	./segmented/standalone/OTSU w-out blur/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
Watershed           	     56	       0	       0	0.38s 	./segmented/standalone/Watershed/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
Hough Circles       	     56	       0	       0	0.02s 	./segmented/standalone/Hough Circles/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
OTSU + Hough method 1 break	     60	       0	       0	0.36s 	./segmented/standalone/OTSU and Hough method 1 break/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
OTSU + Hough method 2 merge	     62	       0	       0	0.26s 	./segmented/standalone/OTSU and Hough method 2 merge/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
U-net 256 new dataset	     59	       0	       0	0.31s 	./segmented/standalone/U-net 256 new dataset/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
Yolo 512 new dataset	     64	       0	       0	0.14s 	./segmented/standalone/Yolo 512 new dataset/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
RCNNv4 1024         	     67	       0	       0	121.17s	./segmented/standalone/RCNNv4 1024/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
RCNNv5n 512         	     70	       0	       0	133.50s	./segmented/standalone/RCNNv5n 512/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
Yolo 416 new dataset	     66	       0	       0	0.12s 	./segmented/standalone/Yolo 416 new dataset/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
RCNNv6n 256         	     77	       0	       0	45.67s	./segmented/standalone/RCNNv6n 256/f25a2ac8-cb6e-4e05-a0cd-cc00ac47718a.png
