METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     59	       0	       0	0.28s 	./segmented/standalone/OTSU/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
OTSU w/out blur     	     59	       0	       0	0.28s 	./segmented/standalone/OTSU w-out blur/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
Watershed           	     72	       0	       0	0.45s 	./segmented/standalone/Watershed/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
Hough Circles       	     62	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
OTSU + Hough method 1 break	     70	       0	       0	0.35s 	./segmented/standalone/OTSU and Hough method 1 break/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
OTSU + Hough method 2 merge	     70	       0	       0	0.29s 	./segmented/standalone/OTSU and Hough method 2 merge/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
U-net 256 new dataset	     63	       0	       0	0.51s 	./segmented/standalone/U-net 256 new dataset/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
Yolo 512 new dataset	     86	       0	       0	0.18s 	./segmented/standalone/Yolo 512 new dataset/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
RCNNv4 1024         	     89	       0	       0	43.66s	./segmented/standalone/RCNNv4 1024/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
RCNNv5n 512         	     89	       0	       0	32.20s	./segmented/standalone/RCNNv5n 512/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
Yolo 416 new dataset	     86	       0	       0	0.11s 	./segmented/standalone/Yolo 416 new dataset/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
RCNNv6n 256         	     96	       0	       0	39.37s	./segmented/standalone/RCNNv6n 256/e597f7ce-46c6-4dce-9063-50a2703fdd45.png
